epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.448,1.27924,1.12014,1.13616,0.69652,0.62271,0.68234,0.43206,1.17741,1.04627,1.09182,0.000369313,0.000369313,0.000369313
2,668.585,1.23018,0.86778,1.10722,0.76065,0.66013,0.74338,0.48806,1.14375,0.79946,1.07483,0.000666421,0.000666421,0.000666421
3,985.62,1.20527,0.80677,1.09029,0.75685,0.69695,0.76729,0.49827,1.13573,0.77222,1.07578,0.000890204,0.000890204,0.000890204
4,1301.74,1.15711,0.74427,1.0681,0.79832,0.74032,0.813,0.54716,1.10768,0.7023,1.04948,0.000781033,0.000781033,0.000781033
5,1617.89,1.11279,0.68065,1.04322,0.82687,0.78461,0.85814,0.58183,1.06378,0.63959,1.02178,0.000671044,0.000671044,0.000671044
6,1933.94,1.07354,0.63362,1.02402,0.85253,0.81005,0.86704,0.61111,1.02625,0.63052,1.00283,0.000561055,0.000561055,0.000561055
7,2250,1.03419,0.59337,1.00584,0.86148,0.82003,0.88054,0.62165,1.0034,0.59465,0.99313,0.000451066,0.000451066,0.000451066
8,2565.84,0.98909,0.55671,0.98389,0.88313,0.83268,0.90129,0.64885,0.96164,0.5456,0.98092,0.000341077,0.000341077,0.000341077
9,2881.96,0.94164,0.51605,0.96539,0.87237,0.85777,0.90795,0.66288,0.94243,0.52106,0.97017,0.000231088,0.000231088,0.000231088
10,3198.04,0.89928,0.48405,0.94789,0.89627,0.86399,0.92567,0.68627,0.9155,0.50718,0.95722,0.000121099,0.000121099,0.000121099
